pl_name,pl_rade,pl_eqt,pl_orbper,st_spectype
"GJ 1214 b",2.67800000,555.00,1.58039250000,
"HD 21749 c",1.00084000,966.00,7.78977260000,
"HR 8799 b",6.72540000,1200.00,,
"HR 8799 c",11.20900000,1200.00,,
"HR 8799 e",10.08810000,1300.00,,
"WASP-133 b",14.18483905,1717.16,2.17648746975,
"TOI-4010 b",3.02000000,1441.00,1.34833500000,"K V"
"TOI-2384 b",11.48920522,889.70,2.13570304000,
"K2-321 b",1.95000000,701.00,2.29800000000,
"HD 3167 b",1.55700000,1860.00,0.95962800000,
"HD 3167 c",2.85000000,500.00,29.84540000000,
"HAT-P-28 b",13.58500000,1384.00,3.25721500000,"G3"
"HD 3167 c",2.86000000,531.00,29.83832000000,
"TOI-1710 b",5.15000000,730.00,24.28338200000,"G5 V"
"TOI-2427 b",1.99844000,783.00,1.30613000000,
"KELT-23 A b",14.68800000,1348.00,2.25528450000,
"Qatar-9 b",13.36740000,1061.00,1.54077600000,
"TOI-3894 b",15.22179579,1519.00,4.33454010000,
"HR 8799 e",13.11453000,1150.00,,"A5"
"NGTS-10 b",13.50684500,1332.00,0.76689440000,"K5 V"
"HD 3167 b",1.57400000,1759.00,0.95963200000,
"HD 3167 c",2.74000000,548.00,29.84622000000,
"COCONUTS-2 b",12.44196858,434.00,402000000.00000000000,"M3 V"
"HD 3167 b",1.62700000,1777.00,0.95965428000,
"HD 3167 c",2.92300000,565.00,29.84649480000,
"HD 3167 b",1.67000000,1774.00,0.95964100000,
"Kepler-549 d",3.65000000,565.00,24.61482073000,
"Kepler-395 b",0.78000000,450.00,7.05427318000,
"Kepler-1515 b",9.33000000,390.00,214.31141640000,
"Kepler-703 b",5.40000000,1027.00,4.58351840000,
"Kepler-1471 b",1.32000000,1153.00,3.63899398000,
"Kepler-1644 b",1.80000000,607.00,21.09077580000,
"Kepler-325 d",2.62000000,498.00,38.71496170000,
"KOI-1257 b",10.54000000,511.00,86.64766100000,"G5 V"
"Kepler-82 e",2.30000000,958.00,5.90220900000,
"Kepler-1369 b",2.90000000,660.00,25.87333000000,
"Kepler-697 b",3.96000000,1056.00,3.70987064500,
"Kepler-1466 b",1.38000000,585.00,31.17504480000,
"Kepler-1889 b",2.59000000,494.00,37.30376190000,
"KOI-1257 b",7.62000000,366.00,86.64763676000,
"Kepler-1668 b",4.30000000,721.00,15.43400996000,
"Kepler-1772 b",2.69000000,1779.00,3.21510633700,
"Kepler-202 b",1.53000000,802.00,4.06942563800,
"Kepler-908 b",1.07000000,1692.00,1.34059746800,
"Kepler-60 d",1.76000000,1013.00,11.89849320000,
"Kepler-188 b",1.84000000,1571.00,2.06187000000,
"Kepler-1077 b",2.64000000,576.00,34.35118740000,
"Kepler-1005 b",1.52000000,1027.00,6.49801525000,
"Kepler-1890 b",0.84000000,1350.00,4.82052932000,
"Kepler-1892 b",1.48000000,821.00,6.33127840000,
"Kepler-1586 b",1.95000000,1109.00,15.60492120000,
"Kepler-183 b",2.19000000,1004.00,5.68798310000,
"Kepler-132 b",1.22000000,1033.00,6.17816500000,
"Kepler-1722 b",2.20000000,755.00,9.17847500000,
"Kepler-280 c",1.84000000,1004.00,4.80709958800,
"Kepler-301 c",1.38000000,989.00,5.41908491000,
"Kepler-107 e",3.07000000,875.00,14.74913518000,
"Kepler-1509 b",1.91000000,653.00,25.43381970000,
"Kepler-568 b",2.11000000,418.00,11.02347475000,
"TOI-1248 b",6.80848590,952.09,4.36015610000,
"HD 260655 c",1.89602000,593.00,5.70608680000,
"TOI-4773 b",15.22179579,2255.00,1.74528510000,
"Kepler-1272 b",2.41000000,542.00,51.13097040000,
"Kepler-675 b",2.38000000,1054.00,2.33743801000,
"K2-240 b",2.00000000,586.00,6.03400000000,"M0.5 V"
"Kepler-1536 b",2.98000000,166.00,364.75803100000,
"Kepler-1248 b",1.04000000,1035.00,7.46718958000,
"Kepler-392 b",1.20000000,1364.00,5.34178800000,
"Kepler-132 b",1.22000000,1082.00,6.17817366000,
"Kepler-1807 b",2.14000000,1108.00,10.86060638000,
"Kepler-524 c",1.03000000,1717.00,1.88897906000,
"Kepler-1146 b",1.35000000,1027.00,2.35226579700,
"Kepler-79 b",2.73000000,850.00,13.48458665000,
"Kepler-1218 b",1.36000000,684.00,22.92212660000,
"Kepler-1630 b",2.62000000,182.00,509.99740200000,
"Kepler-1828 b",1.74000000,774.00,10.27377201000,
"Kepler-1347 b",0.99000000,617.00,14.00947528000,
"Kepler-1748 b",3.30000000,923.00,5.82344500000,
"Kepler-745 b",1.92000000,824.00,9.93143556000,
"Kepler-149 c",1.66000000,429.00,55.32858130000,
"Kepler-60 d",1.76000000,1013.00,11.89849320000,
"Kepler-248 c",4.14000000,598.00,16.23947096000,
"Kepler-1438 b",0.88000000,1230.00,2.31942600000,
"Kepler-105 c",1.91000000,1182.00,7.12596700000,
"Kepler-716 c",1.78000000,992.00,3.96996298000,
"Kepler-259 c",2.71000000,530.00,36.92495310000,
"Kepler-415 b",1.61000000,758.00,4.17634525000,
"Kepler-1470 b",1.15000000,574.00,16.29512590000,
"Kepler-109 c",2.65000000,859.00,21.22265000000,
"Kepler-1825 b",1.35000000,1468.00,1.02585770300,
"Kepler-431 c",0.72000000,945.00,8.70312154000,
"Kepler-534 c",1.06000000,932.00,7.37862283000,
"Kepler-147 b",1.33000000,953.00,12.61196850000,
"Kepler-562 b",5.12000000,658.00,18.00931443600,
"Kepler-351 b",2.74000000,497.00,37.05485690000,
"Kepler-1728 b",2.50000000,886.00,4.78300269800,
"Kepler-877 b",2.30000000,615.00,18.45847097000,
"EPIC 220674823 b",1.87000000,2115.00,0.57128200000,
"Kepler-58 b",3.10000000,920.00,10.21866016000,
"Kepler-1491 b",1.39000000,695.00,16.58617620000,
"Kepler-400 b",1.76000000,965.00,9.02439100000,
"Kepler-271 d",0.71000000,978.00,5.24972541000,
"Kepler-1335 b",1.61000000,809.00,6.26406846000,
"TOI-5688 A b",9.41494000,639.00,2.94796890000,
"TOI-4734 b",10.91754720,1468.00,6.23563300000,
"Kepler-460 c",6.10000000,389.00,220.13033570000,
"Kepler-705 b",2.76000000,265.00,56.05623000000,
"TOI-2095 c",1.44752461,300.66,28.17225006579,
"TOI-1386 b",6.21638650,615.03,25.84010000000,
"Kepler-257 c",4.56000000,881.00,6.58147713600,
"Kepler-1569 b",1.25000000,1124.00,5.79180156000,
"Kepler-787 b",1.47000000,1405.00,0.92831049800,
"Kepler-1136 b",1.37000000,883.00,2.36171800000,
"Kepler-1030 b",2.52000000,534.00,19.32952416000,
"Kepler-1609 b",2.05000000,428.00,114.34219000000,
"Kepler-1254 b",1.54000000,679.00,9.99113313000,
"Kepler-1771 b",2.51000000,391.00,88.64400150000,
"Kepler-1820 b",2.70000000,561.00,31.03269900000,
"Kepler-1397 b",1.61000000,551.00,47.44971340000,
"Kepler-161 b",2.14000000,868.00,4.92136390000,
"Kepler-1389 b",1.77000000,318.00,99.25309510000,
"Kepler-1563 b",0.75000000,1134.00,3.43273710000,
"Kepler-377 b",1.16000000,835.00,12.50948000000,
"HATS-71 b",10.32616195,525.94,3.79551778381,
"Kepler-487 c",2.62000000,504.00,38.65199760000,
"Kepler-1032 b",1.49000000,802.00,3.29011407600,
"Kepler-323 c",1.93000000,1493.00,3.55382967100,
"Kepler-1352 b",0.84000000,1757.00,1.87787200000,
"Kepler-515 b",1.75000000,671.00,19.96371318000,
"Kepler-1178 b",0.73000000,378.00,31.80634000000,
"Kepler-325 c",3.33000000,783.00,12.76224947000,
"Kepler-1202 b",2.40000000,546.00,28.68513240000,
"Kepler-84 e",2.30000000,636.00,27.43458830000,
"Kepler-1407 b",2.16000000,736.00,20.07115040000,
"Kepler-1489 b",1.67000000,408.00,82.29475100000,
"Kepler-265 b",1.67000000,1022.00,6.84619236000,
"Kepler-370 c",1.91000000,649.00,19.02315200000,
"Kepler-343 b",1.79000000,946.00,8.96848108000,
"Kepler-281 c",4.90000000,499.00,36.33767000000,
"Kepler-393 b",1.51000000,1228.00,9.18247194000,
"Kepler-394 d",1.50000000,1197.00,5.61357629000,
"Kepler-237 b",1.50000000,824.00,4.71510365000,
"Kepler-1608 b",1.63000000,612.00,16.47347400000,
"HIP 41378 b",2.59500000,959.00,15.57208000000,
"Kepler-204 c",1.78000000,683.00,25.66138160000,
"Kepler-1164 b",1.22000000,982.00,3.97599768000,
"Kepler-666 b",2.21000000,1133.00,4.49876092000,
"KOI-351 g",6.86000000,341.00,210.60311050000,
"Kepler-79 e",3.00000000,477.00,81.06320000000,
"Kepler-173 b",1.28000000,1179.00,4.26374378000,
"CoRoT-5 b",18.38267405,1350.57,4.03790124331,
"Kepler-117 b",6.04000000,808.00,18.79590048000,
"Kepler-256 b",1.37000000,1545.00,1.62046783600,
"Kepler-1882 b",1.55000000,894.00,13.78726270000,
"Kepler-1256 b",1.50000000,933.00,12.41285180000,
"Kepler-438 b",0.97000000,288.00,35.23306940000,
"Kepler-330 c",2.21000000,570.00,15.95545002000,
"Kepler-668 b",2.52000000,790.00,8.35389523000,
"Kepler-903 c",2.75000000,462.00,62.92249360000,
"Kepler-143 c",2.36000000,644.00,27.08247084000,
"Kepler-212 c",2.06000000,615.00,31.80474045000,
"Kepler-989 b",2.56000000,805.00,7.96431535200,
"Kepler-296 e",1.08000000,244.00,34.14189000000,
"Kepler-378 c",1.80000000,668.00,28.90596870000,
"Kepler-871 b",3.14000000,640.00,22.04590180000,
"Kepler-1424 b",1.10000000,571.00,29.60913000000,
"Kepler-107 b",1.55000000,1460.00,3.18002463500,
"Kepler-148 c",3.55000000,962.00,4.18004955200,
"Kepler-988 b",1.93000000,368.00,17.76076524000,
"CoRoT-23 b",11.77000000,1660.00,3.63130000000,"G0 V"
"Kepler-1540 b",2.30000000,238.00,125.41311770000,
"Kepler-191 c",2.11000000,578.00,17.73852054000,
"Kepler-474 b",3.80000000,1190.00,5.66067293500,
"Kepler-226 d",1.30000000,800.00,8.10904807000,
"Kepler-947 b",2.40000000,573.00,26.96443170000,
"Kepler-1035 b",1.00000000,1228.00,2.71407755500,
"Kepler-1091 b",1.09000000,1426.00,1.43474156400,
"K2-104 b",1.79000000,798.00,1.97419540000,
"Kepler-387 c",1.00000000,826.00,11.83769330000,
"Kepler-215 d",2.45000000,600.00,30.86437869000,
"Kepler-1556 b",2.06000000,900.00,8.82713457000,
"Kepler-1192 b",2.57000000,600.00,25.20347870000,
"Kepler-795 b",1.76000000,579.00,29.61934210000,
"Kepler-74 b",14.80000000,1250.00,7.34071800000,"F8 V"
"Kepler-1461 b",1.96000000,452.00,29.34947750000,
"Kepler-1641 b",3.92000000,908.00,19.67226600000,
"Kepler-1502 b",2.11000000,613.00,41.70836290000,
"Kepler-202 c",1.88000000,505.00,16.28247625000,
"Kepler-391 b",2.50000000,930.00,7.41750000000,"K2 III-IV"
"Kepler-1001 c",1.90000000,802.00,9.18186000000,
"Kepler-205 c",1.58000000,389.00,20.30652862000,
"Kepler-248 c",4.22000000,591.00,16.23946714000,
"Kepler-1924 b",1.20000000,716.00,15.33170180000,
"Kepler-270 c",1.59000000,760.00,25.26290000000,
"Kepler-1154 b",1.67000000,1118.00,5.18561420000,
"Kepler-913 b",2.62000000,707.00,10.29672521000,
"Kepler-1154 c",1.67000000,950.00,8.45808312000,
"Kepler-122 b",1.92000000,1048.00,5.76614800000,
"Kepler-1294 b",3.02000000,375.00,115.68622580000,
"Kepler-1137 b",2.90000000,990.00,23.92113000000,
"Kepler-153 b",2.87000000,621.00,18.87021566000,
"Kepler-222 d",3.75000000,522.00,28.08194365000,
"Kepler-443 b",2.32000000,233.00,177.66866300000,
"Kepler-361 c",2.55000000,568.00,55.18815000000,
"Kepler-188 b",1.63000000,1463.00,2.06190864000,
"Kepler-1437 b",1.32000000,773.00,10.92954610000,
"Kepler-379 c",2.22000000,517.00,62.78470000000,
"Kepler-342 e",1.18000000,1897.00,1.64422103200,
"Kepler-618 b",2.31000000,1244.00,3.59573600000,
"Kepler-832 b",2.25000000,935.00,7.13968000000,
"Kepler-730 b",10.30000000,1073.00,6.49168425900,
"Kepler-355 c",2.82000000,634.00,25.76313000000,
"Kepler-1179 b",1.34000000,1137.00,2.68505749200,
"Kepler-363 c",2.35000000,1295.00,7.54233911000,
"Kepler-256 c",2.11000000,1315.00,3.38801224400,
"Kepler-1736 b",2.44000000,566.00,37.81011740000,
"Kepler-822 b",1.52000000,1240.00,3.22296927300,
"Kepler-1093 c",2.08000000,508.00,89.72229200000,
"Kepler-1387 b",0.87000000,1123.00,2.27952336400,
"Kepler-1155 b",2.60000000,615.00,33.47025000000,
"Kepler-624 b",2.45000000,852.00,14.58649856000,
"Kepler-838 b",2.77000000,777.00,15.74958583000,
"Kepler-227 b",2.50000000,867.00,9.48810200000,
"Kepler-147 b",1.29000000,899.00,12.61097080000,
"Kepler-776 b",1.38000000,904.00,4.89718784000,
"Kepler-1057 b",2.75000000,724.00,14.08827448000,
"Kepler-297 c",7.54000000,466.00,74.92771752000,
"Kepler-342 b",2.06000000,849.00,15.17018900000,
"Kepler-1724 b",2.45000000,999.00,6.45443377000,
"Kepler-175 c",3.22000000,583.00,34.03505590000,
"Kepler-1508 b",0.98000000,655.00,20.70565040000,
"Kepler-1338 b",0.92000000,2021.00,0.93511805700,
"Kepler-267 d",2.31000000,337.00,28.46381000000,
"Kepler-633 c",2.45000000,853.00,23.78324700000,
"Kepler-545 b",2.47000000,767.00,13.24934059000,
"Kepler-1682 b",2.54000000,694.00,14.83340944000,
"Kepler-813 b",4.23000000,817.00,19.12947603000,
"Kepler-1800 b",1.59000000,1301.00,4.56214300000,
"Kepler-1166 b",1.94000000,563.00,33.24068820000,
"Kepler-1760 b",1.83000000,473.00,38.32621800000,
"Kepler-397 c",6.01000000,295.00,135.49782560000,
"Kepler-353 c",1.80000000,472.00,8.41100305000,
"Kepler-377 c",1.58000000,626.00,27.01417830000,
"Kepler-975 b",3.97000000,1599.00,1.97034020300,
"Kepler-610 c",2.63000000,318.00,151.86392000000,
"Kepler-1213 b",1.29000000,1156.00,5.34979100000,
"Kepler-1069 b",2.02000000,693.00,23.89902960000,
"Kepler-501 b",4.59000000,1125.00,5.64067697500,
"Kepler-1793 b",2.91000000,714.00,8.77995434000,
"KOI-3503 c",1.21000000,686.00,31.82800000000,
"Kepler-1578 b",1.24000000,1699.00,1.45088690700,
"Kepler-1669 d",1.14000000,654.00,4.72934400000,
"Kepler-1352 b",0.81000000,1714.00,1.87788274800,
"KOI-1599.02",1.90000000,739.00,13.61410000000,
"Kepler-1303 b",1.25000000,891.00,7.56127224000,
"Kepler-919 b",1.93000000,869.00,11.04603384000,
"Kepler-636 b",3.58000000,518.00,16.08067200000,
"Kepler-296 c",1.38000000,446.00,5.84163661500,
"Kepler-1150 b",2.41000000,1432.00,2.78786838600,
